file,n_groups_before,n_groups_after,n_groups_unchanged,n_groups_filled,n_groups_dropped,n_rows_before,n_rows_after,n_rows_added,n_rows_dropped,min_anchors_used,status
AIpert-pwllnod/2021-01-11-AIpert-pwllnod.parquet,896,0,0,0,896,2688,896,0,1792,NA,ok
JHU_CSSE-DECOM/2022-01-23-JHU_CSSE-DECOM.parquet,422,422,360,62,0,6770,6832,62,0,6,ok
UMich-RidgeTfReg/2020-07-27-UMich-RidgeTfReg.parquet,340,340,232,108,0,6324,6432,108,0,6,ok
AIpert-pwllnod/2021-01-18-AIpert-pwllnod.parquet,896,0,0,0,896,2688,896,0,1792,NA,ok
JHU_CSSE-DECOM/2022-01-30-JHU_CSSE-DECOM.parquet,445,445,420,25,0,7055,7080,25,0,6,ok
UMich-RidgeTfReg/2020-08-03-UMich-RidgeTfReg.parquet,364,364,248,116,0,6764,6880,116,0,6,ok
AIpert-pwllnod/2021-01-25-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
UMich-RidgeTfReg/2020-08-10-UMich-RidgeTfReg.parquet,560,560,376,184,0,10312,10496,184,0,6,ok
AIpert-pwllnod/2021-02-01-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
UMich-RidgeTfReg/2020-08-17-UMich-RidgeTfReg.parquet,468,468,320,148,0,8716,8864,148,0,6,ok
AIpert-pwllnod/2021-02-08-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
UMich-RidgeTfReg/2020-08-24-UMich-RidgeTfReg.parquet,492,492,328,164,0,9020,9184,164,0,6,ok
AIpert-pwllnod/2021-02-15-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
UMich-RidgeTfReg/2020-08-31-UMich-RidgeTfReg.parquet,528,528,352,176,0,9680,9856,176,0,6,ok
AIpert-pwllnod/2021-02-22-AIpert-pwllnod.parquet,880,0,0,0,880,4400,880,0,3520,NA,ok
UMich-RidgeTfReg/2020-09-07-UMich-RidgeTfReg.parquet,600,600,400,200,0,11000,11200,200,0,6,ok
AIpert-pwllnod/2021-03-01-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
UMich-RidgeTfReg/2020-09-14-UMich-RidgeTfReg.parquet,600,600,400,200,0,11000,11200,200,0,6,ok
AIpert-pwllnod/2021-03-08-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
